title,artist,genre
Don't Waste My Time,Kharfi,pop
Beat Of My Heart,Lost Frequencies,pop
Don't Start Now - Kungs Remix,Dua Lipa,pop
Drunken Truth,Steve Void,pop
Jacques,Jax Jones,pop
Something Real,Armin van Buuren,pop
Stay (Don't Go Away) [feat. Raye],David Guetta,pop
Solid Gold,PNAU,pop
One Life,Mike Perry,pop
All ‘Bout The Money,FAULHABER,pop
Never Letting Go,Audien,pop
Used To Love (with Dean Lewis),Martin Garrix,pop
Giulia,Prince Paris,pop
What Do I Do? - Benny Benassi Remix,Georgia Ku,pop
Dreams Of You (feat. Rae Morris),Icarus,pop
I Will Let You Down (feat. KLARA),Madison Mars,pop
Carillon (with Achille Lauro),Nahaze,pop
La Vie - Gabry Ponte Mix,DJ Ross,pop
Lullaby,R3HAB,pop
Say It,Phantoms,pop
All This Time,Deorro,pop
All You Need To Know (feat. Calle Lehmann),Gryffin,pop
Acordeão,Tiësto,pop
My Friend,Yves V,pop
On & On,Alok,pop
Juliet & Romeo,Martin Solveig,pop
All Around The World (La La La),R3HAB,pop
Are You Lonely (feat. ISÁK),Steve Aoki,pop
No More (feat. Brenda Mullen) - Bottai Edit,Alex Gaudino,pop
Close Your Eyes,Felix Jaehn,pop
Buzzing (with Nevve),Audien,pop
Never Be Alone (feat. Aloe Blacc),David Guetta,pop
Roses - Imanbek Remix,SAINt JHN,pop
Insane,Ofenbach,pop
Daydreams - Sultan + Shepard Echoes Of Life Remix,ARTY,pop
Only Want You - Sam Feldt Remix,Rita Ora,pop
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,pop
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,pop
South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,Ed Sheeran,pop
Not Ok - Frank Walker Remix,Kygo,pop
Heaven (feat. Veronica),Dzeko,pop
Sixteen - Don Diablo Remix,Ellie Goulding,pop
Don’t Give Up On Me Now (with Julie Bergan),R3HAB,pop
Brave,Don Diablo,pop
Let It Be Me,Steve Aoki,pop
Carry On - Nicky Romero Remix,Kygo,pop
Magnets (feat. Sophie Simmons),Sam Feldt,pop
Don't Give Up On Me,Andy Grammer,pop
Found Love (feat. Lovespeake),MOTi,pop
These Are The Times (feat. JRM),Martin Garrix,pop
Wherever You Go,Jonas Blue,pop
Happy Now,Kygo,pop
Roots,Valerie Broussard,pop
Talk - Alle Farben Remix,Khalid,pop
All The Lies - Toby Romeo Remix / Radio Edit,Alok,pop
High Hopes - Don Diablo Remix,Panic! At The Disco,pop
Summer Air (feat. Trevor Guthrie),Hardwell,pop
Can We Pretend (feat. Cash Cash) - Sigala Remix,P!nk,pop
Bruises - Steve Void Remix,Lewis Capaldi,pop
Insomnia - King Arthur Remix,Daya,pop
Don't Worry Bout Me - Rudimental Remix,Zara Larsson,pop
I Miss Myself - R3HAB Remix,NOTD,pop
8 Letters - R3HAB Remix,Why Don't We,pop
You Deserve Better - Andrelli Remix,James Arthur,pop
Remember (with ZOHARA),Gryffin,pop
REMEDY,Alesso,pop
Leave,Borgeous,pop
Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,Clean Bandit,pop
I'm Not Sorry,Hardwell,pop
Tequila - Robin Schulz Remix,Dan + Shay,pop
Happier - Frank Walker Remix,Marshmello,pop
Sing It With Me - Embody Remix,JP Cooper,pop
Thursday - Nicky Romero Remix,Jess Glynne,pop
Better When You're Gone,David Guetta,pop
Wish You Well,Sigala,pop
Only When It Rains,Frank Walker,pop
Mad Love - Blinkie Remix,Mabel,pop
Sweet but Psycho - Morgan Page Dance Remix,Ava Max,pop
Better Day (feat. Aloe Blacc),Young Bombs,pop
Rescue Me (with BUNT.) - BUNT. Remix,OneRepublic,pop
Discovery,Syn Cole,pop
With You - Frank Walker Remix,Tyler Shaw,pop
2 Hearts (feat. Gia Koka),Sam Feldt,pop
Love You Forever,Nicky Romero,pop
Post Malone (feat. RANI),Sam Feldt,pop
Thorns,Faustix,pop
Shotgun (The Wild Remix),George Ezra,pop
True Colors (feat. Maya Avedis),XO Cupid,pop
Crying In The Sun,Faustix,pop
Need You,Faustix,pop
Sweet Dreams (Are Made of This),Winati,pop
Million Lights,Tungevaag & Raaban,pop
Dancing in the Moonlight,Jubël,pop
Heaven,Avicii,pop
Forever Young,John De Sohn,pop
eoh,Olympis,pop
Nobody,Martin Jensen,pop
All Day And Night,Jax Jones,pop
There's No Way (feat. Julia Michaels) - Alle Farben Remix,Lauv,pop
Whenever (feat. Conor Maynard),Kris Kross Amsterdam,pop
All For Love,Tungevaag & Raaban,pop
Bittersweet Symphony (feat. Emily Roberts),GAMPER & DADONI,pop
One Touch,Jess Glynne,pop
"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix",Lauv,pop
Be Your Friend‬‬,Vigiland,pop
Happier - Breathe Carolina Remix,Marshmello,pop
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,pop
Just Got Paid,Sigala,pop
No One - Jonas Blue Remix,Jess Glynne,pop
Speechless (feat. Erika Sirola) - MOTi Remix,Robin Schulz,pop
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,pop
Darkside,Alan Walker,pop
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,pop
Body (feat. brando),Loud Luxury,pop
Who's Got Your Love,Cheat Codes,pop
Never Go Back - Robin Schulz Remix,Dennis Lloyd,pop
Pumped Up,Klingande,pop
California,Hot Shade,pop
Solo Dance,Martin Jensen,pop
Replay,Davai,pop
Think About You - Galantis Remix,Kygo,pop
Love No More,Loud Luxury,pop
All Falls Down (feat. Juliander),Alan Walker,pop
Lonely Together (feat. Rita Ora),Avicii,pop
Remind Me to Forget,Kygo,pop
Next To Me,Axel Johansson,pop
Giant (with Rag'n'Bone Man),Calvin Harris,pop
Happier - Tiësto’s AFTR:HRS Remix,Ed Sheeran,pop
Hum With Me,John De Sohn,pop
Without You (feat. Sandro Cavazza),Avicii,pop
Call On Me - Ryan Riback Remix,Starley,pop
Sad (feat. Afrojack),Chico Rose,pop
Stargazing,Kygo,pop
Symphony (feat. Zara Larsson),Clean Bandit,pop
Stay Young,Mike Perry,pop
More Than You Know,Axwell /\ Ingrosso,pop
Why Boy,Steff da Campo,pop
The Nights,Avicii,pop
Rich Love (with Seeb),OneRepublic,pop
Mama,Jonas Blue,pop
